"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"61","Eevee","Baseline",2018-06-23,17,174,28,6.57702155761719,1.77799091796875,"Resident","Fawn",189
"62","Eevee","Release",2018-06-30,24,181,34,73.4057147705078,14.9324236572266,"Resident","Fawn",83
"63","Eevee","Release",2018-06-27,21,178,32,40.2910485107422,11.4731241455078,"Resident","Fawn",83
"64","Eevee","Release",2018-06-28,22,179,33,136.576159594727,32.2478335449219,"Resident","Fawn",83
"65","Eevee","Release",2018-07-01,25,182,35,106.883538085938,28.9262262207031,"Resident","Fawn",83
"66","Eevee","Release",2018-07-02,26,183,36,168.280726831055,40.7384272216797,"Resident","Fawn",83
"67","Eevee","Release",2018-07-04,28,185,37,109.124339038086,25.6857600341797,"Resident","Fawn",83
"68","Eevee","Release",2018-06-26,20,177,31,16.3353273681641,2.28319543457031,"Resident","Fawn",83
"69","Elektra","Baseline",2018-06-12,6,163,204,116.325105541992,27.6264702392578,"Resident","Dark",156
"70","Elektra","Baseline",2018-06-25,19,176,196,309.454762841797,60.5543750732422,"Resident","Dark",156
"71","Elektra","Baseline",2018-06-09,3,160,202,78.4219069091797,19.0364350341797,"Resident","Dark",156
"72","Elektra","Baseline",2018-06-17,11,168,206,22.2799951171875,5.23360283203125,"Resident","Dark",156
"73","Elektra","Baseline",2018-06-18,12,169,194,84.1573383300781,22.0789985107422,"Resident","Dark",156
"74","Elektra","Baseline",2018-06-10,4,161,203,106.684108642578,28.9721364746094,"Resident","Dark",156
"75","Elektra","Baseline",2018-06-19,13,170,195,36.9430339599609,6.379328125,"Resident","Dark",156
"76","Elektra","Baseline",2018-06-13,7,164,205,7.32928491210938,1.20125776367188,"Resident","Dark",156
"77","Elektra","Release",2018-06-29,23,180,198,27.7371870605469,4.02564345703125,"Resident","Dark",39
"78","Elektra","Release",2018-06-30,24,181,199,26.1216041748047,5.15281936035156,"Resident","Dark",39
"79","Elektra","Release",2018-07-01,25,182,200,95.9595896240234,16.2895287109375,"Resident","Dark",39
"80","Elektra","Release",2018-07-02,26,183,201,36.8356550048828,9.09780366210937,"Resident","Dark",39
"81","Elektra","Release",2018-06-26,20,177,197,75.4990968505859,17.6649932128906,"Resident","Dark",39
