"","quoll1","quoll2","period","prox","cr","cs.Do","cs.De","cs.Cs","cs.p.Attract","cs.p.Avoid","ca"
"1","Dawn","Delta","Baseline",0,0.135997221565483,662.892267100021,662.076367531131,-0.00061578783645508,0.552820849448938,0.450681903633293,0
"2","Dawn","Ebony","Baseline",0.0169491525423729,-0.0941484630525712,465.390302439863,463.01363204246,-0.00255995295703753,0.0552001018289595,0.945636900145496,0.00606060606060606
"3","Dawn","Eevee","Baseline",0,-0.247079217119469,1283.87347383334,1274.34875082796,-0.00372318046241441,0.83521519386203,0.167190308999231,0
"4","Dawn","Elektra","Baseline",0,0.121887312846142,941.769817836648,946.569537534909,0.00254176755073568,0.715559417786608,0.288665414894694,0
"5","Dawn","Fauna","Baseline",0,0.181765699843947,956.352336334169,962.855877665374,0.00338865855396247,0.758324220776558,0.249597519636154,0
"6","Dawn","Flora","Baseline",0,0.0273119729571604,1176.41699478491,1160.81558511616,-0.0066751635258356,0.700607967970427,0.305052172217984,0
"7","Delta","Dawn","Baseline",0,0.137160748595501,662.308938175493,662.836184102631,0.000397877876372513,0.702348081694416,0.300726170418661,0
"8","Delta","Ebony","Baseline",0.0169491525423729,0.181967239985733,578.894910234287,626.593136796398,0.0395675649207801,0.179550601025941,0.822420033062257,0.0051413881748072
"9","Delta","Eevee","Baseline",0.0273972602739726,-0.0856194164584696,760.131886140081,765.934108769122,0.00380207844771892,0.428019216407427,0.574137107623428,0.0108108108108108
"10","Delta","Elektra","Baseline",0.0158730158730159,-0.160555558117155,1103.48618293306,1104.3173498212,0.000376467777048611,0.677999507013269,0.324458969570116,0.00593471810089021
"11","Delta","Fauna","Baseline",0,0.166689144277896,1004.47185879508,1001.55239553118,-0.00145534793889177,0.464293252837479,0.540452575245922,0
"12","Delta","Flora","Baseline",0,-0.0610148580671411,1183.12567386741,1181.56270712271,-0.000660960977886486,0.712708847994335,0.29088417315247,0
"13","Ebony","Dawn","Baseline",0.0169491525423729,-0.0941484630525712,465.390302439863,463.01363204246,-0.00255995295703753,0.462415685659282,0.540581052543173,0.00606060606060606
"14","Ebony","Delta","Baseline",0.0169491525423729,0.181967239985733,578.894910234287,626.593136796398,0.0395675649207801,0.0038993654721053,0.996187165494978,0.0051413881748072
"15","Ebony","Eevee","Baseline",0,0.126173170886461,1185.89636339029,1195.08008313137,0.00385712330522595,0.498531575971336,0.504405192508834,0
"16","Ebony","Elektra","Baseline",0,0.155122441001426,1128.85101170891,1123.44073654093,-0.00240212005046789,0.754135194814026,0.249192622640457,0
"17","Ebony","Fauna","Baseline",0,-0.17652523602663,1015.91107013407,1015.16603007863,-0.000366820174061559,0.205866869539022,0.800526477396488,0
"18","Ebony","Flora","Baseline",0,0.00878562778840891,1419.42887758146,1405.91405104316,-0.00478342873049965,0.791261135368918,0.211440966588372,0
"19","Eevee","Dawn","Baseline",0,-0.247079217119469,1283.87347383334,1274.34875082796,-0.00372318046241441,0.74731881105523,0.255776014028668,0
"20","Eevee","Delta","Baseline",0.0273972602739726,-0.0856194164584696,760.131886140081,765.934108769122,0.00380207844771892,0.348147573394296,0.653882577164968,0.0108108108108108
"21","Eevee","Ebony","Baseline",0,0.126173170886461,1185.89636339029,1195.08008313137,0.00385712330522595,0.758982434861084,0.243317293959587,0
"22","Eevee","Elektra","Baseline",0,-0.12253847822931,1735.73372118627,1736.84182255302,0.000319100723021438,0.783163702147469,0.218951325714694,0
"23","Eevee","Fauna","Baseline",0.0204081632653061,-0.140177743091291,1303.30952152014,1310.54029529554,0.00276633099915693,0.437340440718829,0.566540976748154,0.00578034682080925
"24","Eevee","Flora","Baseline",0,-0.053591027474799,1712.36289209788,1709.19721926074,-0.000925213275264768,0.709437815275578,0.294983243567458,0
"25","Elektra","Dawn","Baseline",0,0.121887312846142,941.769817836648,946.569537534909,0.00254176755073568,0.534503978654584,0.470415567938971,0
"26","Elektra","Delta","Baseline",0.0161290322580645,-0.163037185220718,1097.19639820691,1098.04855630374,0.000388183603419286,0.413970420767929,0.588759201378113,0.00593471810089021
"27","Elektra","Ebony","Baseline",0,0.155122441001426,1128.85101170891,1123.44073654093,-0.00240212005046789,0.531329604456026,0.472840850972901,0
"28","Elektra","Eevee","Baseline",0,-0.122584042871001,1733.80251601209,1734.01664535944,6.17475529661201e-05,0.575070750110564,0.427678396825639,0
"29","Elektra","Fauna","Baseline",0,0.14197486979788,484.474640991359,504.918849575774,0.0206633748648332,0.307372213398566,0.696554626618394,0
"30","Elektra","Flora","Baseline",0.1,-0.0269073459121463,430.594141855749,439.949699037328,0.0107467961314633,0.321554112690886,0.681897211274517,0.0348432055749129
"31","Fauna","Dawn","Baseline",0,0.181765699843947,956.352336334169,962.855877665374,0.00338865855396247,0.430628001689911,0.579163551330566,0
"32","Fauna","Delta","Baseline",0,0.166689144277896,1004.47185879508,1001.55239553118,-0.00145534793889177,0.80746451757966,0.195847155057095,0
"33","Fauna","Ebony","Baseline",0,-0.17652523602663,1015.91107013407,1015.16603007863,-0.000366820174061559,0.45094982534647,0.557912118732929,0
"34","Fauna","Eevee","Baseline",0.0204081632653061,-0.140177743091291,1303.30952152014,1310.54029529554,0.00276633099915693,0.5,0.503932106640995,0.00578034682080925
"35","Fauna","Elektra","Baseline",0,0.14197486979788,484.474640991359,504.918849575774,0.0206633748648332,0.385662786926758,0.618607842442003,0
"36","Fauna","Flora","Baseline",0,-0.0486388722890096,389.296353872324,394.323654767551,0.00641548306551419,0.394562961300835,0.61252409266308,0
