"","home_range","core_range","name","night_date"
"1","107.767049682617","28.7046577636719","Ebony","2018-06-20"
"2","13.6841104248047","2.03558942871094","Ebony","2018-06-21"
"3","205.52488034668","37.6312740966797","Ebony","2018-06-22"
"4","67.6739034667969","18.3620736572266","Ebony","2018-06-23"
"5","5.10446755371094","1.31824211425781","Ebony","2018-06-24"
"6","21.6883626220703","4.04106369628906","Ebony","2018-06-25"
"7","48.4531394287109","11.3917115722656","Ebony","2018-06-26"
"8","195.224108081055","41.0085603515625","Ebony","2018-06-27"
"9","143.627881835938","28.7719000488281","Ebony","2018-06-28"
"10","148.729522729492","18.8186624755859","Ebony","2018-06-29"
"11","31.1372524658203","4.74745549316406","Ebony","2018-06-30"
"12","409.512071606445","97.0209825683594","Ebony","2018-07-01"
"13","16.9555050048828","3.47134858398437","Ebony","2018-07-02"
"14","6.34361359863281","1.35982421875","Ebony","2018-07-03"
"15","55.5663199707031","8.50659926757812","Ebony","2018-07-04"
"16","50.3602176757813","9.47765473632812","Ebony","2018-07-05"
"17","22.8407366455078","5.62886589355469","Ebony","2018-07-06"
"18","162.51265090332","33.0614568603516","Ebony","2018-07-07"
"19","85.3479824951172","23.0063327636719","Ebony","2018-07-08"
"20","11.8094849853516","3.13004777832031","Ebony","2018-06-09"
"21","84.7485620361328","24.1497500488281","Ebony","2018-06-11"
"22","74.2815829833984","14.7841173339844","Ebony","2018-06-12"
"23","105.208303271484","26.65183046875","Ebony","2018-06-13"
"24","55.2088388427734","14.7256260498047","Ebony","2018-06-14"
"25","28.7767667480469","5.09035874023438","Ebony","2018-06-17"
"26","101.248368408203","19.4280771240234","Eevee","2018-06-18"
"27","13.1948070068359","3.21277622070312","Eevee","2018-06-22"
"28","6.57702155761719","1.77799091796875","Eevee","2018-06-23"
"29","78.7819116455078","20.2177109863281","Eevee","2018-06-24"
"30","48.9581612304687","12.8512618896484","Eevee","2018-06-25"
"31","16.3353273681641","2.28319543457031","Eevee","2018-06-26"
"32","40.2910485107422","11.4731241455078","Eevee","2018-06-27"
"33","136.576159594727","32.2478335449219","Eevee","2018-06-28"
"34","73.4057147705078","14.9324236572266","Eevee","2018-06-30"
"35","106.883538085938","28.9262262207031","Eevee","2018-07-01"
"36","168.280726831055","40.7384272216797","Eevee","2018-07-02"
"37","109.124339038086","25.6857600341797","Eevee","2018-07-04"
"38","131.401392675781","26.6924596923828","Eevee","2018-07-05"
"39","40.1048744873047","6.97830886230469","Eevee","2018-06-10"
"40","21.1033155517578","3.22742573242187","Eevee","2018-06-11"
"41","86.1902440429687","22.0780054931641","Eevee","2018-06-12"
"42","78.54022265625","21.1775341552734","Eevee","2018-06-13"
"43","75.7940894287109","17.7594622314453","Eevee","2018-06-14"
"44","68.1062820068359","13.6388555175781","Eevee","2018-06-15"
"45","265.228382080078","65.1466713867188","Eevee","2018-06-17"
"46","54.529988671875","10.5570008056641","Fauna","2018-06-18"
"47","53.4418044433594","8.8003404296875","Fauna","2018-06-19"
"48","99.6947803710938","28.8910065185547","Fauna","2018-06-20"
"49","91.1741021484375","18.7863434082031","Fauna","2018-06-10"
"50","36.5397391601563","6.49806040039063","Fauna","2018-06-11"
"51","42.0198322509766","8.38345417480469","Fauna","2018-06-12"
"52","35.2504075195313","6.05419504394531","Fauna","2018-06-13"
"53","5.10474716796875","1.02416333007812","Fauna","2018-06-14"
"54","53.3868249267578","13.6774569580078","Fauna","2018-06-15"
"55","73.8825623291016","18.8962730957031","Fauna","2018-06-16"
"56","16.1662399414062","4.39345427246094","Delta","2018-06-18"
"57","15.8454526611328","3.27092238769531","Delta","2018-06-19"
"58","73.6470970947266","14.8987439697266","Delta","2018-06-20"
"59","1.14144069824219","0.168313330078125","Delta","2018-06-22"
"60","18.823275","4.09970261230469","Delta","2018-06-24"
"61","92.7257094726562","21.4505761962891","Delta","2018-06-25"
"62","10.0436496337891","1.3520568359375","Delta","2018-06-26"
"63","25.2314355957031","5.11108544921875","Delta","2018-06-27"
"64","35.0938013671875","7.41032360839844","Delta","2018-06-29"
"65","110.733990209961","24.8549896972656","Delta","2018-06-30"
"66","24.4372384033203","3.95649645996094","Delta","2018-07-01"
"67","105.912891064453","21.3189731445312","Delta","2018-07-02"
"68","166.383501391602","34.0026757324219","Delta","2018-06-10"
"69","71.9192842285156","19.9925238525391","Delta","2018-06-11"
"70","23.6181263183594","5.54930092773438","Delta","2018-06-12"
"71","47.438035546875","8.30845144042969","Delta","2018-06-13"
"72","84.3813985839844","21.8900230957031","Delta","2018-06-14"
"73","35.9491114990234","9.32994541015625","Delta","2018-06-16"
"74","109.162796655273","30.4151560791016","Flora","2018-06-18"
"75","114.713342626953","21.9548521728516","Flora","2018-06-22"
"76","29.0540953125","7.97781765136719","Flora","2018-06-25"
"77","71.6585076904297","16.4133836914062","Flora","2018-06-26"
"78","39.0460197021484","10.1656212646484","Flora","2018-06-27"
"79","53.2554910888672","12.6653564453125","Flora","2018-06-28"
"80","56.4015677734375","12.6942565185547","Flora","2018-06-29"
"81","11.1488305175781","3.0825015625","Flora","2018-06-30"
"82","105.68577590332","30.6351752197266","Flora","2018-07-01"
"83","12.9748334472656","3.06471259765625","Flora","2018-06-10"
"84","44.9284945068359","11.6195185791016","Flora","2018-06-11"
"85","107.99611784668","29.0842958251953","Flora","2018-06-12"
"86","10.5135314208984","1.84037360839844","Flora","2018-06-16"
"87","27.7546386962891","7.24513310546875","Flora","2018-06-17"
"88","47.1238267822266","8.64673759765625","Pandora","2018-07-04"
