"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"60","Fauna","Baseline",2018-06-18,12,169,46,54.529988671875,10.5570008056641,"Resident","Fawn",157
"61","Flora","Baseline",2018-06-16,10,167,86,10.5135314208984,1.84037360839844,"Resident","Fawn",131
"62","Flora","Baseline",2018-06-22,16,173,75,114.713342626953,21.9548521728516,"Resident","Fawn",131
"63","Flora","Baseline",2018-06-17,11,168,87,27.7546386962891,7.24513310546875,"Resident","Fawn",131
"64","Flora","Baseline",2018-06-18,12,169,74,109.162796655273,30.4151560791016,"Resident","Fawn",131
"65","Flora","Baseline",2018-06-11,5,162,84,44.9284945068359,11.6195185791016,"Resident","Fawn",131
"66","Flora","Baseline",2018-06-10,4,161,83,12.9748334472656,3.06471259765625,"Resident","Fawn",131
"67","Flora","Baseline",2018-06-12,6,163,85,107.99611784668,29.0842958251953,"Resident","Fawn",131
"68","Flora","Baseline",2018-06-25,19,176,76,29.0540953125,7.97781765136719,"Resident","Fawn",131
"69","Indianna","Settlement",2018-07-08,32,189,130,262.6734890625,67.833913671875,"Reinforcer","Fawn",183
"70","Indianna","Settlement",2018-07-06,30,187,128,320.616470263672,52.2597027099609,"Reinforcer","Fawn",183
"71","Indianna","Settlement",2018-07-19,43,200,140,87.0232710205078,17.7315537841797,"Reinforcer","Fawn",183
"72","Indianna","Settlement",2018-07-05,29,186,127,258.722065795898,55.2134301757812,"Reinforcer","Fawn",183
"73","Indianna","Settlement",2018-07-09,33,190,131,84.6281128173828,15.7892984619141,"Reinforcer","Fawn",183
"74","Indianna","Settlement",2018-07-18,42,199,139,39.9521189453125,5.62572526855469,"Reinforcer","Fawn",183
"75","Indianna","Settlement",2018-07-13,37,194,135,32.3826734375,6.41613364257813,"Reinforcer","Fawn",183
"76","Indianna","Settlement",2018-07-11,35,192,133,573.892172802734,127.954660888672,"Reinforcer","Fawn",183
"77","Indianna","Settlement",2018-07-10,34,191,132,11.0141096679688,2.96341401367187,"Reinforcer","Fawn",183
"78","Indianna","Settlement",2018-07-07,31,188,129,228.443529858398,50.6230592285156,"Reinforcer","Fawn",183
"79","Indianna","Settlement",2018-07-17,41,198,141,41.897078515625,10.4891376708984,"Reinforcer","Fawn",183
"80","Indianna","Settlement",2018-07-16,40,197,138,313.0505328125,55.7180374267578,"Reinforcer","Fawn",183
"81","Indianna","Settlement",2018-07-12,36,193,134,4.28538557128906,0.591857055664063,"Reinforcer","Fawn",183
"82","Indianna","Settlement",2018-07-14,38,195,136,53.5157909423828,12.7553457519531,"Reinforcer","Fawn",183
"83","Indianna","Settlement",2018-07-15,39,196,137,154.830238037109,32.1520362792969,"Reinforcer","Fawn",183
"84","Juniper","Settlement",2018-07-10,34,191,222,326.700720336914,49.7013783447266,"Reinforcer","Fawn",102
"85","Juniper","Settlement",2018-07-19,43,200,227,27.5657702392578,4.73532158203125,"Reinforcer","Fawn",102
"86","Juniper","Settlement",2018-07-08,32,189,220,57.4239194091797,10.5953906982422,"Reinforcer","Fawn",102
"87","Juniper","Settlement",2018-07-14,38,195,226,30.70270234375,5.11653974609375,"Reinforcer","Fawn",102
"88","Juniper","Settlement",2018-07-11,35,192,223,4.51546804199219,1.01529321289062,"Reinforcer","Fawn",102
"89","Juniper","Settlement",2018-07-12,36,193,224,2.97067670898437,0.685193212890625,"Reinforcer","Fawn",102
"90","Juniper","Settlement",2018-07-17,41,198,229,13.7931656005859,4.0520642578125,"Reinforcer","Fawn",102
"91","Juniper","Settlement",2018-07-20,44,201,228,20.6530672607422,3.72362512207031,"Reinforcer","Fawn",102
"92","Juniper","Settlement",2018-07-13,37,194,225,38.2286109619141,7.38419958496094,"Reinforcer","Fawn",102
"93","Juniper","Settlement",2018-07-09,33,190,221,8.18326293945312,1.64098146972656,"Reinforcer","Fawn",102
"94","Korra","Settlement",2018-07-05,29,186,156,64.0374660888672,18.3676275390625,"Reinforcer","Dark",48
"95","Korra","Settlement",2018-07-07,31,188,158,110.995945385742,29.1519170410156,"Reinforcer","Dark",48
"96","Korra","Settlement",2018-07-17,41,198,164,4.25892116699219,0.8684525390625,"Reinforcer","Dark",48
"97","Korra","Settlement",2018-07-08,32,189,159,29.1670741943359,8.05503227539062,"Reinforcer","Dark",48
"98","Korra","Settlement",2018-07-12,36,193,162,9.24769311523437,1.59293559570313,"Reinforcer","Dark",48
"99","Korra","Settlement",2018-07-10,34,191,161,0.596376977539062,0.105974536132813,"Reinforcer","Dark",48
"100","Korra","Settlement",2018-07-06,30,187,157,78.5928154296875,15.3818524902344,"Reinforcer","Dark",48
"101","Korra","Settlement",2018-07-13,37,194,163,5.33109680175781,0.891496313476563,"Reinforcer","Dark",48
"102","Korra","Settlement",2018-07-09,33,190,160,74.8508163085937,19.5806035888672,"Reinforcer","Dark",48
"103","Luaner","Settlement",2018-07-12,36,193,152,7.2134552734375,1.47836948242187,"Reinforcer","Fawn",71
"104","Luaner","Settlement",2018-07-13,37,194,153,6.60107280273438,1.49626831054688,"Reinforcer","Fawn",71
"105","Luaner","Settlement",2018-07-09,33,190,149,34.1816044677734,5.61352873535156,"Reinforcer","Fawn",71
"106","Luaner","Settlement",2018-07-14,38,195,154,8.15340219726563,1.54511882324219,"Reinforcer","Fawn",71
"107","Luaner","Settlement",2018-07-05,29,186,145,88.1224447265625,13.2127121826172,"Reinforcer","Fawn",71
"108","Luaner","Settlement",2018-07-07,31,188,147,98.8970307373047,21.9622876953125,"Reinforcer","Fawn",71
"109","Luaner","Settlement",2018-07-10,34,191,150,1.97052856445312,0.361842333984375,"Reinforcer","Fawn",71
"110","Luaner","Settlement",2018-07-06,30,187,146,81.3355932861328,15.2102770263672,"Reinforcer","Fawn",71
"111","Luaner","Settlement",2018-07-08,32,189,148,455.649640600586,120.785468139648,"Reinforcer","Fawn",71
"112","Luaner","Settlement",2018-07-11,35,192,151,6.50809091796875,1.0974611328125,"Reinforcer","Fawn",71
"113","Myrtle","Settlement",2018-07-15,39,196,122,312.784019067383,85.8931697509766,"Reinforcer","Dark",64
"114","Myrtle","Settlement",2018-07-09,33,190,118,52.6736079101562,10.0211047851563,"Reinforcer","Dark",64
"115","Myrtle","Settlement",2018-07-13,37,194,120,47.5172400146484,8.44283010253906,"Reinforcer","Dark",64
"116","Myrtle","Settlement",2018-07-05,29,186,114,19.3545262939453,3.09934353027344,"Reinforcer","Dark",64
"117","Myrtle","Settlement",2018-07-06,30,187,115,40.8708060058594,10.7247985351562,"Reinforcer","Dark",64
"118","Myrtle","Settlement",2018-07-14,38,195,121,27.5205947021484,4.47900227050781,"Reinforcer","Dark",64
"119","Myrtle","Settlement",2018-07-12,36,193,119,173.655661279297,48.9129971435547,"Reinforcer","Dark",64
